"Country","GDPpc","Year"
"Qatar",140649,2014
"Macau",139767,2014
"Luxembourg",97662,2014
"Singapore",82763,2014
"Kuwait",73246,2014
"Brunei",71185,2014
"United Arab Emirates",67674,2014
"Norway",64856,2014
"Switzerland",57235,2014
"Hong Kong",55084,2014
"United States",54629,2014
"Bermuda",52347,2013
"Saudi Arabia",51924,2014
"Ireland",48755,2014
"Netherlands",47662,2014
"Austria",46222,2014
"Germany",45802,2014
"Bahrain",45500,2014
"Sweden",45183,2014
"Denmark",44916,2014
"Canada",44057,2014
"Australia",43930,2014
"Iceland",43304,2014
"Belgium",42578,2014
"Finland",39981,2014
"United Kingdom",39762,2014
"France",38847,2014
"Oman",38631,2014
"Japan",36426,2014
"Aruba",36017,2011
"New Zealand",35217,2013
"Puerto Rico",34752,2013
"Equatorial Guinea",34739,2014
"Italy",34706,2014
"South Korea",34356,2014
"Israel",33230,2014
"Spain",33211,2014
"Trinidad and Tobago",31967,2014
"Cyprus",30873,2014
"Czech Republic",30407,2014
"Slovenia",29963,2014
"Malta",29127,2013
"Portugal",28393,2014
"Slovakia",27711,2014
"Estonia",26946,2014
"Lithuania",26742,2014
"Seychelles",26386,2014
"Greece",25877,2014
"Malaysia",25639,2014
"Russia",25636,2014
"Poland",24744,2014
"Hungary",24721,2014
"Kazakhstan",24228,2014
"Bahamas, The",23491,2014
"Saint Kitts and Nevis",23239,2014
"Latvia",22873,2014
"Chile",22346,2014
"Croatia",21351,2013
"Libya",21046,2013
"Antigua and Barbuda",21028,2013
"Uruguay",19594,2013
"Panama",19416,2013
"Gabon",19264,2013
"Romania",18974,2013
"Cuba",18796,2011
"Turkey",18783,2013
"Venezuela",18198,2013
"Mauritius",17714,2013
"Belarus",17620,2013
"Lebanon",17174,2013
"Azerbaijan",17143,2013
"Mexico",16370,2013
"Suriname",16071,2013
"Botswana",15752,2013
"Bulgaria",15732,2013
"Iran",15590,2013
"Barbados",15574,2012
"Palau",15096,2013
"Brazil",15835,2014
"Iraq",14951,2013
"Thailand",14394,2013
"Montenegro",14132,2013
"Turkmenistan",14004,2013
"Costa Rica",13876,2013
"Algeria",13320,2013
"China",13217,2014
"Serbia",13020,2013
"South Africa",12867,2013
"Colombia",12424,2013
"Dominican Republic",12186,2013
"Jordan",11783,2013
"Peru",11774,2013
"Maldives",11657,2013
"Grenada",11645,2013
"Macedonia",11612,2013
"Tunisia",11125,2013
"Egypt",11089,2013
"Ecuador",10890,2013
"Saint Vincent and the Grenadines",10491,2013
"Saint Lucia",10488,2013
"Dominica",10343,2013
"Albania",9931,2013
"Sri Lanka",9738,2013
"Namibia",9583,2013
"Indonesia",9561,2013
"Bosnia and Herzegovina",9536,2013
"Mongolia",9435,2013
"Jamaica",8893,2013
"Kosovo",8884,2013
"Ukraine",8790,2013
"Belize",8487,2013
"Paraguay",8093,2013
"Armenia",7776,2013
"El Salvador",7764,2013
"Fiji",7750,2013
"Angola",7736,2013
"Bhutan",7405,2013
"Guatemala",7297,2013
"Morocco",7198,2013
"Georgia",7160,2013
"Swaziland",6685,2013
"Guyana",6546,2013
"Philippines",6536,2013
"Cape Verde",6416,2013
"Bolivia",6131,2013
"Congo, Rep.",5869,2013
"Samoa",5769,2013
"Nigeria",5602,2013
"India",5418,2013
"Tonga",5304,2013
"Vietnam",5294,2013
"Uzbekistan",5168,2013
"West Bank and Gaza",4921,2012
"Laos",4822,2013
"Moldova",4671,2013
"Nicaragua",4643,2013
"Pakistan",4602,2013
"Honduras",4593,2013
"Ghana",3992,2013
"Yemen",3959,2013
"Zambia",3926,2013
"Marshall Islands",3901,2013
"Tuvalu",3645,2013
"Micronesia",3395,2013
"Sudan",3373,2013
"Kyrgyzstan",3213,2013
"Mauritania",3043,2013
"Cambodia",3041,2013
"Djibouti",2999,2013
"Vanuatu",2991,2013
"Bangladesh",2948,2013
"Cameroon",2830,2013
"Kenya",2795,2013
"Papua New Guinea",2643,2013
"Lesotho",2576,2013
"Tajikistan",2512,2013
"Tanzania",2443,2013
"Nepal",2245,2013
"Senegal",2242,2013
"Chad",2089,2013
"Timor-Leste",2076,2012
"Solomon Islands",2069,2013
"South Sudan",2030,2013
"Afghanistan",1946,2013
"Kiribati",1856,2013
"Zimbabwe",1832,2013
"Benin",1791,2013
"Haiti",1703,2013
"Burkina Faso",1685,2013
"Uganda",1674,2013
"Gambia, The",1661,2013
"Mali",1642,2013
"Sierra Leone",1544,2013
"Rwanda",1474,2013
"Comoros",1446,2013
"Madagascar",1414,2013
"Guinea-Bissau",1407,2013
"Togo",1391,2013
"Ethiopia",1380,2013
"Guinea",1253,2013
"Eritrea",1196,2013
"Mozambique",1105,2013
"Niger",916,2013
"Liberia",878,2013
"Congo, Dem. Rep.",809,2013
"Malawi",780,2013
"Burundi",772,2013
"Central African Republic",604,2013
